Day,NEAR,EUR
15,5.700000,26.474892,
15,7.600000,35.299858,
15,19.000000,88.249641,
15,5.700000,26.474892,
15,8.550000,39.712337,
15,7.600000,35.640274,
15,12.350000,57.915447,
15,9.500000,44.550343,
15,18.049999,85.273949,
15,12.350000,58.345337,
15,8.550000,40.392921,
15,10.450000,49.369133,
15,17.100000,80.785843,
15,10.450000,49.369133,
15,14.250000,73.380943,
15,3.800000,19.568253,
15,12.350000,63.596821,
15,14.250000,73.380943,
15,8.550000,44.028564,
15,6.650000,38.260536,
15,3.800000,21.863165,
15,3.800000,21.863165,
15,3.800000,19.875978,
15,11.400000,52.397339,
15,4.750000,21.832224,
16,5.700000,32.913593,
16,13.300000,73.537384,
16,7.600000,41.404541,
16,9.500000,51.755676,
16,7.600000,35.130672,
16,7.600000,39.264004,
16,2.850000,14.724002,
16,3.800000,19.632002,
16,18.049999,93.252007,
16,10.450000,55.243893,
16,12.350000,66.141991,
16,19.950001,106.844757,
16,15.200000,81.405533,
16,5.700000,32.372044,
16,4.750000,26.976704,
16,12.350000,70.139435,
16,13.300000,75.534767,
16,4.750000,24.694513,
16,5.700000,29.633415,
16,3.800000,16.907312,
16,12.350000,54.948765,
16,5.700000,25.360968,
16,12.350000,58.589870,
16,3.800000,18.027653,
16,4.750000,22.534565,
16,0.000000,0.000000,
16,3.800000,18.027653,
16,5.700000,30.716087,
16,14.250000,76.790215,
16,10.450000,56.312828,
16,10.450000,56.312828,
16,6.650000,35.835434,
16,11.400000,61.432175,
16,12.350000,66.551521,
16,14.250000,81.651047,
16,14.250000,81.651047,
16,14.250000,81.651047,
